Gene	NCBI gene ID	Chromosome	Locus	No of Studies	Proteins
VCAM1	7412	1	1p21.2	33	NP_001069;NP_001186763;NP_542413;P19320;E9PDD2;A0A3B3ISS8;ENSP00000359137;ENSP00000497582;ENSP00000294728;ENSP00000304611;ENSP00000359133
VCAN	1462	5	5q14.2-q14.3	62	NP_001119808;NP_001157569;NP_001157570;NP_004376;P13611;D6RGZ6;E9PF17;Q86W61;ENSP00000342768;ENSP00000340062;ENSP00000265077;ENSP00000425959;ENSP00000426251;ENSP00000426715;ENSP00000421362
VCL	7414	10	10q22.2	65	NP_003364;NP_054706;P18206;A0A096LPE1;ENSP00000485551;ENSP00000361841;ENSP00000211998
VCP	7415	9	9p13.3	60	NP_001341856;NP_001341857;NP_009057;P55072;C9JUP7;A0A7I2V2Y2;A0A7I2V540;A0A7I2V5G8;A0A7P0T8A3;A0A7P0T8Q5;A0A7P0TAQ1;A0A7P0TAW3;A0A7P0Z4C6;A0A7I2YQJ0;A0A7P0T8D3;A0A7P0T8D6;A0A7P0T8Q4;A0A7P0T946;A0A7P0T971;A0A7P0T9X5;A0A7P0TA22;A0A7P0TAY0;A0A7P0TBF1;A0A7P0TBK7;A0A7P0Z4D1;ENSP00000506338;ENSP00000503426;ENSP00000503811;ENSP00000504354;ENSP00000504259;ENSP00000505847;ENSP00000351777;ENSP00000392088;ENSP00000506216;ENSP00000505230;ENSP00000399456;ENSP00000505769;ENSP00000504990;ENSP00000503131;ENSP00000505052;ENSP00000506387;ENSP00000505308;ENSP00000505142;ENSP00000505497;ENSP00000505893;ENSP00000506523;ENSP00000506658;ENSP00000505674;ENSP00000505509
VCPIP1	80124	8	8q13.1	58	NP_079330;Q96JH7;ENSP00000309031
VCPKMT	79609	14	14q21.3	11	XP_005268117;XP_016877129;XP_047287729;XP_054232687;XP_054232688;XP_054232689;NP_001035752;NP_078834;Q9H867;ENSP00000437113;ENSP00000379201;ENSP00000379200
VCX	26609	X	Xp22.31	7	XP_011543792;NP_001380591;NP_038480;Q9H320;A0A087X1S4;A0A8I5QKN2;J3KNW2;ENSP00000370447;ENSP00000344144;ENSP00000509688;ENSP00000508920;ENSP00000484419
VDAC1	7416	5	5q31.1	61	NP_001387937;NP_001387938;NP_001387939;NP_001387940;NP_001387945;NP_001387946;NP_001387947;NP_001387949;NP_001387950;NP_001387951;NP_001387952;NP_001387953;NP_001387954;NP_001387955;NP_001387956;NP_001387957;NP_001387958;NP_001387960;NP_001387961;NP_003365;P21796;C9JI87;ENSP00000265333;ENSP00000378484;ENSP00000378487;ENSP00000390129
VDAC2	7417	10	10q22.2	63	NP_001171712;NP_001171752;NP_001311016;NP_001311017;NP_001311018;NP_001311019;NP_001378892;NP_003366;P45880;A0A0A0MR02;Q5JSD1;Q5JSD2;A2A3S1;ENSP00000298468;ENSP00000443092;ENSP00000344876;ENSP00000361686;ENSP00000361635;ENSP00000401492;ENSP00000389551
VDAC3	7419	8	8p11.21	49	NP_001129166;NP_001400481;NP_001400482;NP_001400483;NP_001400484;NP_001400485;NP_001400486;NP_001400487;NP_001400488;NP_001400489;NP_001400490;NP_005653;Q9Y277;E5RHZ6;E5RJN6;E5RFL1;E5RFP6;E5RHE1;E5RK27;ENSP00000428977;ENSP00000428519;ENSP00000429006;ENSP00000428029;ENSP00000022615;ENSP00000430373;ENSP00000428845;ENSP00000430908
VDR	7421	12	12q13.11	15	XP_024304946;XP_047285456;XP_054229106;XP_054229107;NP_000367;NP_001017535;NP_001017536;NP_001351014;NP_001361590;NP_001361591;P11473;A0A5K1VW50;F8VRJ4;F8VPF8;F8VVY8;F8VXQ9;ENSP00000449573;ENSP00000378734;ENSP00000229022;ENSP00000447173;ENSP00000449074;ENSP00000448659;ENSP00000449561;ENSP00000450105
VEGFA	7422	6	6p21.1	24	NP_001020537;NP_001020538;NP_001020539;NP_001020540;NP_001020541;NP_001028928;NP_001165093;NP_001165094;NP_001165095;NP_001165096;NP_001165097;NP_001165098;NP_001165099;NP_001165100;NP_001165101;NP_001191313;NP_001191314;NP_001273973;NP_001303939;NP_003367;P15692;A0A0A0MR43;A0A0A0MRQ4;A0A0A0MSH5;A0A0A0MSH7;A0A0A0MSI7;A0A0A0MTB2;A0A5F9ZH41;A2A2V4;H0YBI8;H0YBZ0;H3BLW8;J3KPA4;ENSP00000500082;ENSP00000361137;ENSP00000388465;ENSP00000317598;ENSP00000388663;ENSP00000389864;ENSP00000361125;ENSP00000421561;ENSP00000361134;ENSP00000361148;ENSP00000430594;ENSP00000428321;ENSP00000430479;ENSP00000429643;ENSP00000409911;ENSP00000430829;ENSP00000429008;ENSP00000430002;ENSP00000230480;ENSP00000429592
VEGFC	7424	4	4q34.3	9	NP_005420;P49767;ENSP00000480043
VEGFD	2277	X	Xp22.2	4	NP_004460;O43915;ENSP00000297904
VEPH1	79674	3	3q25.31-q25.32	18	XP_011511436;XP_011511437;XP_024309514;XP_024309515;XP_024309516;XP_024309517;XP_024309518;XP_047304877;XP_047304878;XP_047304879;XP_047304880;XP_047304881;XP_047304882;XP_047304883;XP_047304884;XP_047304885;XP_047304886;XP_047304887;XP_054203839;XP_054203840;XP_054203841;XP_054203842;XP_054203843;XP_054203844;XP_054203845;XP_054203846;XP_054203847;XP_054203848;XP_054203849;XP_054203850;XP_054203851;XP_054203852;XP_054203853;XP_054203854;XP_054203855;XP_054203856;NP_001161383;NP_001161384;NP_001161387;NP_001161388;NP_001161389;NP_078897;Q14D04;C9IZY4;C9J379;C9J4U8;C9JRT0;F8WBD3;F8WBQ3;ENSP00000376578;ENSP00000354919;ENSP00000376577;ENSP00000418963;ENSP00000419193;ENSP00000443868;ENSP00000417268;ENSP00000420097;ENSP00000418175;ENSP00000417700;ENSP00000417157;ENSP00000417298
VEZF1	7716	17	17q22	42	XP_005257700;XP_016880507;XP_047292618;XP_047292620;XP_047292621;XP_054173044;XP_054173045;XP_054173046;XP_054173047;NP_001317322;NP_009077;Q14119;J3QLN5;J3QSH4;J9JIC7;ENSP00000258963;ENSP00000462337;ENSP00000464687;ENSP00000463631
VEZT	55591	12	12q22	31	XP_006719541;XP_006719546;XP_011536846;XP_011536847;XP_011536850;XP_011536851;XP_011536852;XP_016875075;XP_016875081;XP_024304810;XP_024304811;XP_047285062;XP_047285063;XP_047285064;XP_047285065;XP_047285066;XP_047285067;XP_047285068;XP_047285069;XP_047285070;XP_047285071;XP_047285072;XP_054228446;XP_054228447;XP_054228448;XP_054228449;XP_054228450;XP_054228451;XP_054228452;XP_054228453;XP_054228454;XP_054228455;XP_054228456;XP_054228457;XP_054228458;XP_054228459;XP_054228460;XP_054228461;XP_054228462;XP_054228463;XP_054228464;XP_054228465;XP_054228466;XP_054228467;NP_001339017;NP_001339018;NP_001339019;NP_001339020;NP_001339021;NP_001339022;NP_001339023;NP_001339024;NP_001339025;NP_001339026;NP_001339027;NP_001339028;NP_001339029;NP_001339030;NP_001339031;NP_001339032;NP_001339033;NP_001339034;NP_001339035;NP_001339036;NP_001339037;NP_001339038;NP_001339039;NP_001339040;NP_001339041;NP_001339042;NP_001339043;NP_001339044;NP_001339045;NP_001339046;NP_001339047;NP_001339048;NP_060069;Q9HBM0;F8W8C2;F8VPN9;F8VRY3;F8VS43;F8VUB7;F8VUG0;F8VVS3;F8VXA0;F8W048;F8W088;F8W0S0;ENSP00000449056;ENSP00000447891;ENSP00000449346;ENSP00000449591;ENSP00000447080;ENSP00000448866;ENSP00000410083;ENSP00000447010;ENSP00000449701;ENSP00000447044;ENSP00000448019;ENSP00000448555;ENSP00000446666;ENSP00000447786;ENSP00000448738;ENSP00000448724;ENSP00000447633;ENSP00000447468;ENSP00000450009;ENSP00000447151;ENSP00000380894
VGF	7425	7	7q22.1	23	XP_005250618;XP_011514851;XP_054214910;XP_054214911;XP_054214912;NP_003369;O15240;ENSP00000249330;ENSP00000400884
VGLL1	51442	X	Xq26.3	8	NP_057351;Q99990;H0Y5G3;Q5H916;ENSP00000359668;ENSP00000398360;ENSP00000388868
VGLL4	9686	3	3p25.3-p25.2	47	XP_011532571;XP_024309603;XP_024309604;XP_024309605;XP_047305215;XP_047305216;XP_047305217;XP_047305218;XP_047305219;XP_054204474;XP_054204475;XP_054204476;XP_054204477;XP_054204478;XP_054204479;XP_054204480;XP_054204481;XP_054204482;NP_001121691;NP_001121692;NP_001121693;NP_001271319;NP_001271320;NP_055482;Q14135;G5E9M7;A0A075B6E4;A0A096LP98;A0A0A6YYI5;C9JBN2;C9JX59;E7EQU6;E7ERW0;E7EUJ2;E7EWF5;F8W708;F8WBN7;G5E9M9;ENSP00000404251;ENSP00000273038;ENSP00000404624;ENSP00000416615;ENSP00000402878;ENSP00000413030;ENSP00000412923;ENSP00000394439;ENSP00000394123;ENSP00000391932;ENSP00000411670;ENSP00000391554;ENSP00000395557;ENSP00000393100;ENSP00000485472
VHL	7428	3	3p25.3	20	NP_000542;NP_001341652;NP_937799;P40337;A0A8Q3SIA6;A0A8Q3WL21;ENSP00000512444;ENSP00000256474;ENSP00000512434;ENSP00000344757;ENSP00000512435
VIL1	7429	2	2q35	27	NP_009058;P09327;B4DV78;C9J2B5;H7C0B6;ENSP00000412657;ENSP00000375962;ENSP00000248444;ENSP00000409270;ENSP00000394030
VIM	7431	10	10p13	65	NP_003371;P08670;A0A1B0GTT5;A0A1B0GVG8;B0YJC4;B0YJC5;ENSP00000446007;ENSP00000489830;ENSP00000490509;ENSP00000224237;ENSP00000435613;ENSP00000431702
VIPAS39	63894	14	14q24.3	50	XP_016877070;XP_054232531;NP_001180243;NP_001180244;NP_001180245;NP_001180246;NP_001387253;NP_001387254;NP_001387255;NP_001387256;NP_001387259;NP_001387260;NP_001387261;NP_001387262;NP_001387263;NP_001387264;NP_001387265;NP_001387266;NP_001387267;NP_001387268;NP_071350;Q9H9C1;G3V4K3;G3V549;ENSP00000313098;ENSP00000339122;ENSP00000452191;ENSP00000452181;ENSP00000404815;ENSP00000451857;ENSP00000452176
VIPR2	7434	7	7q36.3	13	NP_001291451;NP_001295188;NP_003373;P41587;C9JCP7;E9PCR5;ENSP00000262178;ENSP00000366860;ENSP00000384497;ENSP00000402690
VIRMA	25962	8	8q22.1	54	XP_047277633;XP_047277633;XP_047277634;XP_047277634;XP_054216235;XP_054216235;XP_054216236;XP_054216236;NP_056311;NP_056311;NP_892121;NP_892121;Q69YN4;Q69YN4;H0YB68;H0YB68;H0YBN5;H0YBN5;H0YC41;H0YC41;ENSP00000297591;ENSP00000297591;ENSP00000429909;ENSP00000429909;ENSP00000430857;ENSP00000430857;ENSP00000428784;ENSP00000428784;ENSP00000398390;ENSP00000398390
VIT	5212	2	2p22.2	9	XP_011531208;XP_016859816;XP_016859817;XP_047300705;XP_054198533;XP_054198534;XP_054198535;XP_054198536;NP_001171440;NP_001171441;NP_001171442;NP_001171443;NP_001315590;NP_001378895;NP_001378896;NP_001378897;NP_001378898;NP_001378899;NP_444506;Q6UXI7;B5MD45;C9J6F5;H7C587;ENSP00000374625;ENSP00000368544;ENSP00000393561;ENSP00000417874;ENSP00000384154;ENSP00000368543;ENSP00000385658;ENSP00000419251
VKORC1	79001	16	16p11.2	31	NP_001298240;NP_076869;NP_996560;Q9BQB6;F8W9H0;I3L1P9;A8MV79;F2Z3Q2;H0YF24;ENSP00000300851;ENSP00000326135;ENSP00000346969;ENSP00000437064;ENSP00000378426;ENSP00000378422;ENSP00000417662;ENSP00000458994
VKORC1L1	154807	7	7q11.21	28	XP_011514133;XP_047275879;XP_054213319;XP_054213320;NP_001271271;NP_775788;Q8N0U8;A0A3B3ISV4;ENSP00000353998;ENSP00000497458;ENSP00000497394;ENSP00000403077
VLDLR	7436	9	9p24.2	26	XP_047279804;XP_054219729;NP_001018066;NP_001309154;NP_001309155;NP_003374;P98155;A0A7P0T897;A0A7P0T8N6;A0A7P0T8N9;A0A7P0T9P7;A0A7P0TB10;A0A7P0TBI2;A0A804CHQ2;A0A7P0T8C1;A0A7P0T8F7;A0A7P0TA42;A0A7P0TAL1;A0A7P0Z477;Q5VVF8;ENSP00000371528;ENSP00000505030;ENSP00000505180;ENSP00000371532;ENSP00000505167;ENSP00000505282;ENSP00000506072;ENSP00000505773;ENSP00000505911;ENSP00000506448;ENSP00000506614;ENSP00000371531;ENSP00000505430;ENSP00000505223;ENSP00000506174;ENSP00000505018
VMAC	400673	19	19p13.3	23	NP_001017921;Q2NL98;ENSP00000343348
VMP1	81671	17	17q23.1	25	NP_001316323;NP_001316324;NP_001316325;NP_001316326;NP_001316327;NP_001316328;NP_001316329;NP_001316330;NP_001316331;NP_112200;Q96GC9;K7EK01;K7ELS2;K7EMI0;K7EL46;K7EL74;K7EL93;K7EM96;K7EMN6;K7ENU2;K7EPE7;ENSP00000465972;ENSP00000466579;ENSP00000465947;ENSP00000262291;ENSP00000466413;ENSP00000466198;ENSP00000467093;ENSP00000466511;ENSP00000465397;ENSP00000465911;ENSP00000467350
VNN1	8876	6	6q23.2	26	NP_004657;O95497;ENSP00000356905
VNN2	8875	6	6q23.2	24	XP_006715656;XP_011534533;XP_047275433;XP_047275434;XP_047275435;XP_047275436;XP_047275437;XP_054212659;XP_054212660;XP_054212661;XP_054212662;XP_054212663;XP_054212664;XP_054212665;NP_001229279;NP_004656;NP_511043;O95498;B4DQB2;E9PK31;E9PL76;E9PLK5;E9PQ75;E9PRD9;J3KQ55;J3KQQ7;J3QT03;ENSP00000387572;ENSP00000322276;ENSP00000406536;ENSP00000376190;ENSP00000436822;ENSP00000436935;ENSP00000436863;ENSP00000433285;ENSP00000434077;ENSP00000432516;ENSP00000432582;ENSP00000431451;ENSP00000434210;ENSP00000431680
VPS11	55823	11	11q23.3	51	XP_047283212;XP_054187593;XP_054225327;NP_001277114;NP_001365147;NP_001365148;NP_001365149;NP_001365150;NP_068375;Q9H270;A0A087WXL6;B7Z879;A0A0G2JS92;A0A087X2J4;ENSP00000481126;ENSP00000481807;ENSP00000485025
VPS13A	23230	9	9q21.2	47	NP_001018047;NP_001018048;NP_056001;NP_150648;Q96RL7;H0Y7P8;H0YF78;H0YG53;ENSP00000365823;ENSP00000353422;ENSP00000496361;ENSP00000493592;ENSP00000437478;ENSP00000414410;ENSP00000441840
VPS13B	157680	8	8q22.2	39	NP_056058;NP_060360;NP_689777;NP_858047;Q7Z7G8;A0A804HJ62;A0A804HKG9;A0A804HL73;A0A8C8KE22;H0YB72;ENSP00000430900;ENSP00000507369;ENSP00000398472;ENSP00000349685;ENSP00000351346;ENSP00000507923;ENSP00000508225;ENSP00000347281;ENSP00000428809
VPS13C	54832	15	15q22.2	57	XP_011520015;XP_011520016;XP_047288697;XP_047288698;XP_054234241;XP_054234242;XP_054234243;XP_054234244;NP_001018098;NP_060154;NP_060550;NP_065872;Q709C8;A0A3B3IT88;A0A3B3IU50;ENSP00000493560;ENSP00000249837;ENSP00000497607;ENSP00000496179;ENSP00000498208;ENSP00000379235
VPS13D	55187	1	1p36.22-p36.21	51	NP_056193;NP_060626;Q5THJ4;A0A2R8Y876;A0A2R8YD87;F5GX56;H3BLS7;R4GMW1;ENSP00000478104;ENSP00000482233;ENSP00000011700;ENSP00000494348;ENSP00000496547;ENSP00000473375;ENSP00000441122
VPS16	64601	20	20p13	44	NP_072097;NP_536338;Q9H269;Q5JUA9;Q5JUB0;ENSP00000369836;ENSP00000369810;ENSP00000417031;ENSP00000409840
VPS18	57617	15	15q15.1	44	XP_011520145;XP_054234516;NP_065908;Q9P253;H0YLM6;H0YMC9;ENSP00000220509;ENSP00000453265;ENSP00000453555
VPS25	84313	17	17q21.2	39	NP_115729;Q9BRG1;K7ENE3;K7EKV4;K7EP45;ENSP00000253794;ENSP00000467225;ENSP00000466909;ENSP00000465798
VPS26A	9559	10	10q22.1	50	XP_054223195;NP_001030337;NP_001305873;NP_001305874;NP_001305875;NP_004887;O75436;S4R2Y3;S4R3Q6;ENSP00000362480;ENSP00000378532;ENSP00000473746;ENSP00000263559;ENSP00000474611
VPS26B	112936	11	11q25	55	XP_011540867;XP_054223542;NP_443107;Q4G0F5;A0A0D9SFQ6;H0YCI7;ENSP00000281187;ENSP00000434162;ENSP00000431672;ENSP00000486811
VPS26C	10311	21	21q22.13	24	A8MTY9;A8MY26;NP_001317947.1;NP_001317950.1;NP_001317951.1;NP_006043.1;O14972;O14972-2
VPS28	51160	8	8q24.3	37	XP_005272381;XP_047277801;XP_047277802;XP_054188176;XP_054216588;XP_054216589;NP_057292;NP_898880;Q9UK41;E9PM90;E9PQR7;E9PR04;E9PLM9;ENSP00000366565;ENSP00000434064;ENSP00000434556;ENSP00000292510;ENSP00000433228;ENSP00000436102;ENSP00000431243;ENSP00000434393;ENSP00000432395
VPS29	51699	12	12q24.11	50	NP_001269079;NP_001269080;NP_057310;NP_476528;Q9UBQ0;F8VXU5;Q05DG7;ENSP00000447058;ENSP00000353786;ENSP00000480853;ENSP00000449954;ENSP00000400048;ENSP00000449044;ENSP00000447634
VPS33A	65082	12	12q24.31	42	NP_001337947;NP_001337948;NP_001337949;NP_001337950;NP_075067;Q96AX1;A0A2R8Y5U3;A0A2R8YF87;A0A2R8Y5F6;F5H2X5;F5H6Y0;F5H7N5;ENSP00000267199;ENSP00000494419;ENSP00000494935;ENSP00000442392;ENSP00000495062;ENSP00000439255;ENSP00000442951
VPS33B	26276	15	15q26.1	32	XP_005254944;XP_011519751;XP_047288339;XP_047288340;XP_054233696;XP_054233697;XP_054233698;XP_054233699;NP_001276077;NP_001276078;NP_061138;Q9H267;F5H008;G3V3F9;ENSP00000327650;ENSP00000460413;ENSP00000444053
VPS35	55737	16	16q11.2	57	XP_005256102;XP_011521529;XP_054169441;XP_054169442;NP_060676;Q96QK1;A0A1W2PP10;A0A3B3ITD4;H3BRJ7;I3L4S0;ENSP00000299138;ENSP00000497702;ENSP00000456274;ENSP00000461469;ENSP00000491212
VPS35L	57020	16	16p12.3	36	C9J7I2;E7EWW0;F5H7K1;F6S1J4;H0YFG6;H3BNX2;H3BRV8;H3BTI5;H3BUS7;H3BV68;H3BVG8;I3L1U5;NP_001287672.1;NP_064710.4;Q7Z3J2;Q7Z3J2-2;XP_005255492.1;XP_006721128.1;XP_011544199.1;XP_024306123.1
VPS36	51028	13	13q14.3	38	NP_001269097;NP_001269098;NP_057159;Q86VN1;A0A3B3ISW7;ENSP00000484968;ENSP00000497484;ENSP00000367299
VPS37A	137492	8	8p22	35	XP_016868510;XP_047277310;XP_047277311;XP_054215722;XP_054215723;XP_054215724;NP_001138624;NP_001350096;NP_001350097;NP_001350098;NP_001350099;NP_001350100;NP_001350101;NP_001350102;NP_689628;Q8NEZ2;H0YBN0;E5RG91;E5RHB8;E5RJ10;E5RJX6;ENSP00000429227;ENSP00000428823;ENSP00000430456;ENSP00000318629;ENSP00000412824;ENSP00000429680;ENSP00000430933;ENSP00000429858
VPS37B	79720	12	12q24.31	35	XP_006719665;XP_011537045;XP_011537047;XP_016875460;XP_047285506;XP_054229212;XP_054229213;XP_054229214;XP_054229215;XP_054229216;XP_054229217;NP_078943;Q9H9H4;F5H1F6;F5H4M0;ENSP00000267202;ENSP00000446075;ENSP00000360294
VPS37C	55048	11	11q12.2	25	XP_005274134;XP_047283134;XP_047283135;XP_054225198;XP_054225199;XP_054225200;NP_060436;A5D8V6;F5H4Q5;ENSP00000301765;ENSP00000446013
VPS39	23339	15	15q15.1	38	XP_011519705;XP_011519706;XP_047288278;XP_054233598;XP_054233599;XP_054233600;NP_001288067;NP_056104;Q96JC1;H3BTU0;ENSP00000326534;ENSP00000457325;ENSP00000335193
VPS41	27072	7	7p14.1	40	XP_016867477;XP_054213879;NP_055211;NP_542198;P49754;C9J2U9;C9J3F8;C9JU58;C9JZ11;H7BXH3;H7BZX6;H7C0K2;ENSP00000309457;ENSP00000379297;ENSP00000391980;ENSP00000395410;ENSP00000412974;ENSP00000265745;ENSP00000411919;ENSP00000407835;ENSP00000398584
VPS45	11311	1	1q21.2	46	XP_024308559;XP_054190019;NP_001266282;NP_001266283;NP_009190;Q9NRW7;A0A1B0GXI6;A0A2R8Y7W9;A0A2R8YD95;A0A2R8YDP1;A0A2R8YE10;A0A2R8YEX8;A0A2R8YF01;A0A8V8TLU0;A0A8V8TLW3;A0A8V8TLX3;A0A8V8TLX8;A0A8V8TLZ5;A0A8V8TM00;A0A8V8TM05;A0A8V8TM10;A0A8V8TMC6;A0A8V8TMD1;A0A8V8TMF8;A0A8V8TMG3;A0A8V8TMG7;A0A8V8TMH2;A0A8V8TNB6;A0A8V8TNE7;A0A8V8TNF0;A0A8V8TNF5;A0A8V8TNG0;A0A8V8TNM6;A0A8V8TNQ5;A0A8V8TNR0;B7Z7G7;ENSP00000495148;ENSP00000481356;ENSP00000358124;ENSP00000513772;ENSP00000513776;ENSP00000513777;ENSP00000495981;ENSP00000513807;ENSP00000513808;ENSP00000513809;ENSP00000513810;ENSP00000513811;ENSP00000513812;ENSP00000513813;ENSP00000513814;ENSP00000513815;ENSP00000513816;ENSP00000494763;ENSP00000494363;ENSP00000513817;ENSP00000513818;ENSP00000513819;ENSP00000513820;ENSP00000513821;ENSP00000513822;ENSP00000513778;ENSP00000513779;ENSP00000513823;ENSP00000495563;ENSP00000513780;ENSP00000496312;ENSP00000513824;ENSP00000513825;ENSP00000494741;ENSP00000400143
VPS4A	27183	16	16q22.1	57	NP_037377;Q9UN37;ENSP00000254950
VPS4B	9525	18	18q21.33	61	XP_047293905;XP_054175353;NP_004860;O75351;K7EKZ3;K7EL71;ENSP00000238497;ENSP00000465944;ENSP00000465846
VPS50	55610	7	7q21.2-q21.3	56	XP_011514697;XP_011514697;XP_011514698;XP_011514698;XP_024302594;XP_024302594;XP_047276557;XP_047276557;XP_054214602;XP_054214602;XP_054214603;XP_054214603;XP_054214604;XP_054214604;XP_054214605;XP_054214605;NP_001244927;NP_001244927;NP_060137;NP_060137;NP_078829;NP_078829;Q96JG6;Q96JG6;H0Y7Q2;H0Y7Q2;A0A3B3IRQ5;A0A3B3IRQ5;C9JA29;C9JA29;F2Z3F0;F2Z3F0;F8WDT1;F8WDT1;H7BZP1;H7BZP1;ENSP00000251739;ENSP00000251739;ENSP00000443104;ENSP00000443104;ENSP00000395433;ENSP00000395433;ENSP00000415809;ENSP00000415809;ENSP00000307666;ENSP00000307666;ENSP00000405553;ENSP00000405553;ENSP00000496891;ENSP00000496891;ENSP00000406787;ENSP00000406787;ENSP00000414450;ENSP00000414450;ENSP00000390584;ENSP00000390584
VPS51	738	11	11q13.1	51	NP_037397;Q9UID3;E9PQN6;E9PRV0;H0YCB7;E9PJ36;E9PKX7;E9PMB6;E9PQD5;H0YEE1;A0A1W2PQZ2;E9PKE5;H0YDX9;ENSP00000436134;ENSP00000434138;ENSP00000279281;ENSP00000436867;ENSP00000435245;ENSP00000433579;ENSP00000492351;ENSP00000431188;ENSP00000435691;ENSP00000434542;ENSP00000435629;ENSP00000431317
VPS52	6293	6	6p21.32	47	XP_011513099;XP_011513100;XP_011513101;XP_016866668;XP_054185824;XP_054185825;XP_054185826;XP_054185827;XP_054186307;XP_054186308;XP_054186309;XP_054186310;XP_054186823;XP_054186824;XP_054186825;XP_054186826;XP_054187085;XP_054187086;XP_054187087;XP_054187088;XP_054187346;XP_054187347;XP_054187348;XP_054187349;XP_054212170;XP_054212171;XP_054212172;XP_054212173;NP_001276103;NP_001276104;NP_001276105;NP_072047;Q8N1B4;A0A0G2JIG2;E9PI03;ENSP00000436612;ENSP00000409952
VPS53	55275	17	17p13.3	48	XP_047292300;XP_047292301;XP_047292302;XP_047292303;XP_047292304;XP_047292305;XP_047292306;XP_047292307;XP_054172580;XP_054172581;XP_054172582;XP_054172583;XP_054172584;XP_054172585;XP_054172586;XP_054172587;XP_054188055;XP_054188056;XP_054188057;XP_054188058;XP_054188059;XP_054188060;XP_054188061;XP_054188062;NP_001121631;NP_001353182;NP_001353183;NP_060759;Q5VIR6;A0A7P0T7U9;A0A7P0T874;A0A7P0T8I9;A0A7P0T8P7;A0A7P0T9B2;A0A7P0T9V8;A0A7P0T9Z7;A0A7P0TA79;A0A7P0TAE0;A0A7P0TAF8;A0A7P0TAK4;A0A7P0TB16;A0A7P0TB80;A0A7P0TBJ8;A0A7P0Z400;A0A7P0Z461;A0A7P0Z4K0;A0A7P0Z4Q7;E7EVT8;F6VX93;I3L0S6;I3L184;I3L4P9;A0A7P0T804;A0A7P0T805;A0A7P0T8A5;A0A7P0T8A9;A0A7P0T8D0;A0A7P0T8K1;A0A7P0T8S5;A0A7P0T8V1;A0A7P0T8V2;A0A7P0T8V9;A0A7P0T9B6;A0A7P0T9X9;A0A7P0TA41;A0A7P0TA53;A0A7P0TA82;A0A7P0TBG3;A0A7P0TBK3;A0A7P0Z4M8;I3L1W6;ENSP00000504905;ENSP00000401435;ENSP00000505997;ENSP00000506596;ENSP00000506605;ENSP00000506640;ENSP00000505190;ENSP00000504889;ENSP00000505594;ENSP00000505237;ENSP00000505563;ENSP00000505114;ENSP00000505944;ENSP00000505044;ENSP00000505892;ENSP00000506052;ENSP00000458311;ENSP00000459312;ENSP00000505041;ENSP00000506159;ENSP00000291074;ENSP00000505032;ENSP00000373692;ENSP00000384294;ENSP00000506188;ENSP00000506453;ENSP00000505145;ENSP00000505328;ENSP00000504978;ENSP00000505866;ENSP00000505322;ENSP00000506180;ENSP00000505327;ENSP00000505837;ENSP00000506475;ENSP00000458651;ENSP00000506269;ENSP00000461429;ENSP00000505902;ENSP00000506067;ENSP00000504867;ENSP00000505475;ENSP00000505263;ENSP00000505115;ENSP00000505287;ENSP00000505967;ENSP00000506514;ENSP00000506589;ENSP00000459159;ENSP00000504898
VPS54	51542	2	2p15-p14	31	XP_016859805;XP_047300683;XP_047300684;XP_047300685;XP_047300686;XP_047300687;XP_047300688;XP_054198494;XP_054198495;XP_054198496;XP_054198497;XP_054198498;XP_054198499;NP_001005739;NP_057600;Q9P1Q0;A0A0A0MT48;ENSP00000386980;ENSP00000272322;ENSP00000346499;ENSP00000414725
VPS72	6944	1	1q21.3	43	XP_016857694;XP_054194502;NP_001258016;NP_001258017;NP_005988;Q15906;ENSP00000357887;ENSP00000346464
VPS8	23355	3	3q27.2	53	XP_005247310;XP_006713619;XP_011510901;XP_011510902;XP_016861530;XP_024309194;XP_024309196;XP_047303777;XP_047303778;XP_047303779;XP_047303780;XP_047303781;XP_047303782;XP_047303783;XP_047303784;XP_054201861;XP_054201862;XP_054201863;XP_054201864;XP_054201865;XP_054201866;XP_054201867;XP_054201868;XP_054201869;XP_054201870;XP_054201871;XP_054201872;XP_054201873;XP_054201874;XP_054201875;NP_001009921;NP_001336221;NP_001336222;NP_001336223;NP_001336224;NP_001336225;NP_001336226;NP_001336227;NP_056118;Q8N3P4;C9JG07;C9JIA0;C9JJN9;C9JKL0;C9JP71;C9JPI1;F8WB24;H7C058;H7C1G7;H7C322;H7C490;ENSP00000287546;ENSP00000487164;ENSP00000404704;ENSP00000405483;ENSP00000415161;ENSP00000394018;ENSP00000409957;ENSP00000416150;ENSP00000397553;ENSP00000389480;ENSP00000487080;ENSP00000416101;ENSP00000409115;ENSP00000400267;ENSP00000393070
VPS9D1	9605	16	16q24.3	27	XP_005256386;XP_011521778;XP_047290886;XP_047290887;XP_047290888;XP_047290889;XP_047290890;XP_047290891;XP_047290892;XP_047290893;XP_054170420;XP_054170421;XP_054170422;XP_054170423;XP_054170424;XP_054170425;XP_054170426;XP_054170427;XP_054170428;NP_004904;Q9Y2B5;H3BM58;H3BNK1;H3BQI2;ENSP00000454244;ENSP00000374037;ENSP00000455792;ENSP00000454889
